referencia,categoria,producto,costo_cop,precio_venta_sugerido_cop
CA-ARET-010,Arete,Set Fino,12000,16200
CA-ARET-011,Arete,collares en mostacilla,150000,202500
CA-ARET-012,Arete,collares wayuu,22000,29700
CA-ARET-013,Arete,pañoletas,15000,20250
CA-ALPA-001,Alpargatas,Alpargata Finas,50000,67500
CA-ALPA-002,Alpargatas,Alpargatas sencillas,45000,60750
CA-A150-001,Alpargata 150,Alpargata 150,35000,47250
CA-ALPA-003,Alpargatas,sandalia,35000,47250
CA-ALPA-004,Alpargatas,sandalia wayuu,35000,47250
CA-ALPA-005,Alpargatas,sandalia C.f,45000,60750
CA-ALPA-006,Alpargatas,Abarca cuero,35000,47250
CA-ALPA-007,Alpargatas,Abarca economica,35000,47250
CA-ALPA-008,Alpargatas,Guairena Hombre,35000,47250
CA-ALPA-009,Alpargatas,Guairena mujer,22000,29700
CA-ALPA-010,Alpargatas,Abarca de niño,35000,47250
CA-CORR-001,Correas,Correa Sr Estreg,35000,47250
CA-CORR-002,Correas,Correa Argentina,120000,162000
CA-CORR-003,Correas,Correa cuero,35000,47250
CA-CORR-004,Correas,Correa trenzada,35000,47250
CA-PONC-001,Ponchos,poncho cuadro,18000,24300
CA-PONC-002,Ponchos,poncho Raya,18000,24300
CA-PONC-003,Ponchos,peruano,35000,47250
CA-PONC-004,Ponchos,costeño,30000,40500
CA-PONC-005,Ponchos,Sarape,45000,60750
CA-PONC-006,Ponchos,wayuu,40000,54000
CA-PONC-007,Ponchos,wayuu estampado,55000,74250
CA-PONC-008,Ponchos,paleteado,65000,87750
CA-PONC-009,Ponchos,Artesano,25000,33750
CA-PONC-010,Ponchos,publicitario,15000,20250
CA-PONC-011,Ponchos,super poncho,55000,74250
CA-PONC-012,Ponchos,poncho dorado,55000,74250
CA-PONC-013,Ponchos,poncho pañuelo,18000,24300
CA-PONC-014,Ponchos,Colombia,85000,114750
CA-PONC-015,Ponchos,Sublimado,45000,60750
CA-MULE-001,Mulera,medio cuadro,12000,16200
CA-MULE-002,Mulera,medio artesano,15000,20250
CA-MULE-003,Mulera,medio peruano,25000,33750
CA-MULE-004,Mulera,pavo real estam,25000,33750
CA-MULE-005,Mulera,Camisero,25000,33750
CA-MULE-006,Mulera,publicitario,18000,24300
CA-MULE-007,Mulera,camisero estampado,25000,33750
CA-MANI-001,Manilla,manilla azabache,5000,6750
CA-MANI-002,Manilla,manilla azabache Fino,12000,16200
CA-MANI-003,Manilla,acero Fina,30000,40500
CA-MANI-004,Manilla,acero economica,18000,24300
CA-MANI-005,Manilla,wayuu delgada,7000,9450
CA-MANI-006,Manilla,wayuu gruesa,8000,10800
CA-MANI-007,Manilla,wayuu brazalete,12000,16200
CA-MANI-008,Manilla,cuero delgado,12000,16200
CA-MANI-009,Manilla,cuero grueso,15000,20250
CA-MANI-010,Manilla,C.f delgada,3000,4050
CA-MANI-011,Manilla,C.f gruesa,5000,6750
CA-MANI-012,Manilla,C.f cuero,12000,16200
CA-IMAN-001,Imanes,iman Sincelejo,12000,16200
CA-IMAN-002,Imanes,iman Colombia,12000,16200
CA-IMAN-003,Imanes,iman encendedor,7000,9450
CA-IMAN-004,Imanes,iman Sombrero 7k,7000,9450
CA-IMAN-005,Imanes,iman hilo sombrero,3000,4050
CA-IMAN-006,Imanes,iman metalico,18000,24300
CA-IMAN-007,Imanes,bicho paja,12000,16200
CA-CUCH-001,Cuchara,cuchara mini madera,2000,2700
CA-CUCH-002,Cuchara,cuchara mediana madera,5000,6750
CA-CUCH-003,Cuchara,cuchara grande madera,12000,16200
CA-CUCH-004,Cuchara,Cuchillo,12000,16200
CA-CUCH-005,Cuchara,cuch pequeña totumo,3000,4050
CA-CUCH-006,Cuchara,cuch grande totumo,5000,6750
CA-CUCH-007,Cuchara,cuchara extragrande,22000,29700
CA-CUCH-008,Cuchara,Totumo pequeña,5000,6750
CA-CUCH-009,Cuchara,Totumo mediana,10000,13500
CA-CUCH-010,Cuchara,Totumo grande,15000,20250
CA-CUCH-011,Cuchara,Jarra de totumo,32000,43200
CA-CUCH-012,Cuchara,Jarrone de ceramica pe,8000,10800
CA-CUCH-013,Cuchara,Jarrone de ceramica mediano,13000,17550
CA-CUCH-014,Cuchara,Jarrone de ceramica gande,25000,33750
CA-CUCH-015,Cuchara,chancho mini,6000,8100
CA-CUCH-016,Cuchara,chancho pequeño,8000,10800
CA-CUCH-017,Cuchara,chancho mediano,12000,16200
CA-CUCH-018,Cuchara,chancho gande,15000,20250
CA-CUAD-001,Cuadros,cuadros 3D,45000,60750
CA-CUAD-002,Cuadros,cuadro sencillo,35000,47250
CA-CUAD-003,Cuadros,portallave Sincelejo,22000,29700
CA-CHIV-001,Chivas,Chiva ceramica mini,5000,6750
CA-CHIV-002,Chivas,Chiva ceramica mediana,12000,16200
CA-CHIV-003,Chivas,Chiva ceramica gande,15000,20250
CA-CHIV-004,Chivas,Chiva laser,22000,29700
CA-CHIV-005,Chivas,Chiva 28 k,28000,37800
CA-TINT-001,Tinteros,Tinteros pequeño,3000,4050
CA-TINT-002,Tinteros,Tinteros mediano,5000,6750
CA-TINT-003,Tinteros,Tinteros grande,10000,13500
CA-TINT-004,Tinteros,porta lapicero Colombia,28000,37800
CA-TINT-005,Tinteros,porta lapicero C.f,25000,33750
CA-TINT-006,Tinteros,porta lapicero acordeon,25000,33750
CA-TINT-007,Tinteros,porta servilletero y lapicero C.f fino,32000,43200
CA-ACCE-001,Acceso,Burros y Barcos,35000,47250
CA-ACCE-002,Acceso,"pareja Silla, dama y burro",12000,16200
CA-ACCE-003,Acceso,Alcancia Tortuga,30000,40500
CA-ACCE-004,Acceso,muñeco base blanca,35000,47250
CA-ACCE-005,Acceso,muñecos totumo,32000,43200
CA-ACCE-006,Acceso,animal mueve cabeza,13000,17550
CA-ACCE-007,Acceso,Alcancia madera,60000,81000
CA-ACCE-008,Acceso,reloj Redondo,90000,121500
CA-ACCE-009,Acceso,reloj cuadrado,75000,101250
CA-ACCE-010,Acceso,reloj rectangular,65000,87750
CA-ACCE-011,Acceso,espejo iraka,120000,162000
CA-ACCE-012,Acceso,individual iraka,16000,21600
CA-ACCE-013,Acceso,camino iraka,120000,162000
CA-ACCE-014,Acceso,Agenda C.f,90000,121500
CA-ACCE-015,Acceso,libreta Colombia,22000,29700
CA-ACCE-016,Acceso,memos Colombia,22000,29700
CA-ACCE-017,Acceso,porta navaja,12000,16200
CA-ACCE-018,Acceso,porta eledor aveo,25000,33750
CA-ACCE-019,Acceso,Frutas ceramica,15000,20250
CA-ABAN-001,Abanicos,Abanico iraka,15000,20250
CA-ABAN-002,Abanicos,Abanico Concha,8000,10800
CA-ABAN-003,Abanicos,Abanico Industrial,12000,16200
CA-HAMA-001,Hamaca,Hamaca industrial,55000,74250
CA-HAMA-002,Hamaca,Hamaca paletera safico,150000,202500
CA-HAMA-003,Hamaca,Hamaca paletera meral,280000,378000
CA-HAMA-004,Hamaca,Hamaca paletera grande,380000,513000
CA-HAMA-005,Hamaca,Hamaca fina,1200000,1620000
CA-HAMA-006,Hamaca,Hamaca mediana,55000,74250
CA-HAMA-007,Hamaca,Hamaca mini,15000,20250
CA-LLAV-001,Llavero,llavero hilo,2000,2700
CA-LLAV-002,Llavero,llavero Hamaca,5000,6750
CA-LLAV-003,Llavero,tambor,8000,10800
CA-LLAV-004,Llavero,concha,2000,2700
CA-LLAV-005,Llavero,Taboa,7000,9450
CA-LLAV-006,Llavero,madera,5000,6750
CA-LLAV-007,Llavero,Laser,8000,10800
CA-LLAV-008,Llavero,goma,6000,8100
CA-LLAV-009,Llavero,metalico,12000,16200
CA-LLAV-010,Llavero,encendedor,12000,16200
CA-LLAV-011,Llavero,wayuu,7000,9450
CA-LLAV-012,Llavero,monedero C.f,7000,9450
CA-LLAV-013,Llavero,alpargatita,5000,6750
CA-LLAV-014,Llavero,chancho ceramica eco,12000,16200
CA-LLAV-015,Llavero,bola fina,6000,8100
CA-LLAV-016,Llavero,Fleco,5000,6750
CA-LLAV-017,Llavero,C.f grueso,12000,16200
CA-LLAV-018,Llavero,C.f delgado,18000,24300
CA-LLAV-019,Llavero,animal,12000,16200
CA-LLAV-020,Llavero,hilo hamaca,8000,10800
CA-GAZA-001,Gazas,Gaza wayuu deg,10000,13500
CA-GAZA-002,Gazas,Gaza wayuu gruesa,18000,24300
CA-GAZA-003,Gazas,gaza paleteada,15000,20250
